"blind_case_id","display_order","comparison_mode","context","option_a","option_b","choice","reason_codes","review_confidence","optional_note"
"caso-011","11","SHARED_HISTORY","{""behavioral_goal"":""Valorizar folga no orcamento sem ignorar preferencias e aversoes declaradas."",""explicit_preferences"":[""Brasileira"",""Lanches""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 7 km"",""meal_budget"":""ate R$ 32"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil AAF7"",""recent_sequence"":[{""category"":""Lanches"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Doces"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Brasileira"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 4, dia 2""}","{""category"":""Brasileira"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""abaixo de R$ 25"",""product_alias"":""Opcao A"",""recent_category_occurrences"":1,""restaurant_alias"":""Restaurante A""}","{""category"":""Lanches"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""abaixo de R$ 25"",""product_alias"":""Opcao B"",""recent_category_occurrences"":1,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-012","12","SHARED_HISTORY","{""behavioral_goal"":""Manter afinidade recorrente por restaurante sem ultrapassar limites eliminatorios."",""explicit_preferences"":[""Massas""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 55"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil 003E"",""recent_sequence"":[{""category"":""Asiatica"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Doces"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Brasileira"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 4, dia 5""}","{""category"":""Lanches"",""distance_band"":""de 2 a 4 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante A""}","{""category"":""Massas"",""distance_band"":""de 2 a 4 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-013","13","SHARED_HISTORY","{""behavioral_goal"":""Representar evidencias positivas e negativas compensaveis de modo deterministico."",""explicit_preferences"":[""Lanches"",""Saudavel""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 48"",""meal_window"":""JANTAR"",""profile_label"":""Perfil E350"",""recent_sequence"":[{""category"":""Lanches"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Saudavel"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Asiatica"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 6, dia 3""}","{""category"":""Saudavel"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":1,""restaurant_alias"":""Restaurante A""}","{""category"":""Doces"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""EVITADA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-014","14","SHARED_HISTORY","{""behavioral_goal"":""Migrar afinidade de Massas para Asiatica ao longo de varias semanas."",""explicit_preferences"":[],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 58"",""meal_window"":""JANTAR"",""profile_label"":""Perfil BCC7"",""recent_sequence"":[{""category"":""Massas"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Asiatica"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Saudavel"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 5, dia 4""}","{""category"":""Massas"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":1,""restaurant_alias"":""Restaurante A""}","{""category"":""Saudavel"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 35 a R$ 44"",""product_alias"":""Opcao B"",""recent_category_occurrences"":1,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-015","15","SHARED_HISTORY","{""behavioral_goal"":""Priorizar um produto favorito sem confundir fidelidade ao prato com restaurante."",""explicit_preferences"":[""Saudavel""],""gastronomic_aversions"":[""Frituras""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 50"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil F37A"",""recent_sequence"":[{""category"":""Saudavel"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Saudavel"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Vegetariana"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 5, dia 5""}","{""category"":""Saudavel"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":2,""restaurant_alias"":""Restaurante A""}","{""category"":""Mediterranea"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""abaixo de R$ 25"",""product_alias"":""Opcao B"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-016","16","TRAJECTORY_OUTCOME","{""behavioral_goal"":""Priorizar um produto favorito sem confundir fidelidade ao prato com restaurante."",""explicit_preferences"":[""Saudavel""],""gastronomic_aversions"":[""Frituras""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 50"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil F37A"",""virtual_moment"":""semana 5, dia 4""}","{""category"":""Asiatica"",""distance_band"":""de 2 a 4 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":0,""recent_sequence"":[{""category"":""Saudavel"",""restaurant_alias"":""Historico A 1""},{""category"":""Mediterranea"",""restaurant_alias"":""Historico A 2""},{""category"":""Doces"",""restaurant_alias"":""Historico A 3""}],""restaurant_alias"":""Restaurante A""}","{""category"":""Saudavel"",""distance_band"":""de 2 a 4 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":2,""recent_sequence"":[{""category"":""Saudavel"",""restaurant_alias"":""Historico B 1""},{""category"":""Mediterranea"",""restaurant_alias"":""Historico B 2""},{""category"":""Saudavel"",""restaurant_alias"":""Historico B 3""}],""restaurant_alias"":""Restaurante B""}","","","",""
"caso-017","17","TRAJECTORY_OUTCOME","{""behavioral_goal"":""Priorizar deslocamentos curtos dentro do raio sem apagar preferencia explicita forte."",""explicit_preferences"":[""Brasileira""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 4 km"",""meal_budget"":""ate R$ 55"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil 8BD6"",""virtual_moment"":""semana 2, dia 2""}","{""category"":""Lanches"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":0,""recent_sequence"":[{""category"":""Brasileira"",""restaurant_alias"":""Historico A 1""},{""category"":""Brasileira"",""restaurant_alias"":""Historico A 2""},{""category"":""Brasileira"",""restaurant_alias"":""Historico A 3""}],""restaurant_alias"":""Restaurante A""}","{""category"":""Brasileira"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":3,""recent_sequence"":[{""category"":""Brasileira"",""restaurant_alias"":""Historico B 1""},{""category"":""Brasileira"",""restaurant_alias"":""Historico B 2""},{""category"":""Brasileira"",""restaurant_alias"":""Historico B 3""}],""restaurant_alias"":""Restaurante B""}","","","",""
"caso-018","18","SHARED_HISTORY","{""behavioral_goal"":""Priorizar um produto favorito sem confundir fidelidade ao prato com restaurante."",""explicit_preferences"":[""Saudavel""],""gastronomic_aversions"":[""Frituras""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 50"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil F37A"",""recent_sequence"":[{""category"":""Saudavel"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Brasileira"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Saudavel"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 4, dia 1""}","{""category"":""Saudavel"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""abaixo de R$ 25"",""product_alias"":""Opcao A"",""recent_category_occurrences"":2,""restaurant_alias"":""Restaurante A""}","{""category"":""Massas"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""abaixo de R$ 25"",""product_alias"":""Opcao B"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-019","19","TRAJECTORY_OUTCOME","{""behavioral_goal"":""Priorizar deslocamentos curtos dentro do raio sem apagar preferencia explicita forte."",""explicit_preferences"":[""Brasileira""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 4 km"",""meal_budget"":""ate R$ 55"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil 8BD6"",""virtual_moment"":""semana 6, dia 5""}","{""category"":""Brasileira"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":1,""recent_sequence"":[{""category"":""Vegetariana"",""restaurant_alias"":""Historico A 1""},{""category"":""Brasileira"",""restaurant_alias"":""Historico A 2""},{""category"":""Doces"",""restaurant_alias"":""Historico A 3""}],""restaurant_alias"":""Restaurante A""}","{""category"":""Brasileira"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":1,""recent_sequence"":[{""category"":""Vegetariana"",""restaurant_alias"":""Historico B 1""},{""category"":""Brasileira"",""restaurant_alias"":""Historico B 2""},{""category"":""Massas"",""restaurant_alias"":""Historico B 3""}],""restaurant_alias"":""Restaurante B""}","","","",""
"caso-020","20","SHARED_HISTORY","{""behavioral_goal"":""Preservar preferencia declarada diante de pequenas vantagens operacionais concorrentes."",""explicit_preferences"":[""Vegetariana""],""gastronomic_aversions"":[""Carnes""],""maximum_distance"":""ate 9 km"",""meal_budget"":""ate R$ 65"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil CBE5"",""recent_sequence"":[{""category"":""Mediterranea"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Vegetariana"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Vegetariana"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 3, dia 5""}","{""category"":""Vegetariana"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 35 a R$ 44"",""product_alias"":""Opcao A"",""recent_category_occurrences"":2,""restaurant_alias"":""Restaurante A""}","{""category"":""Saudavel"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 35 a R$ 44"",""product_alias"":""Opcao B"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-021","21","SHARED_HISTORY","{""behavioral_goal"":""Valorizar folga no orcamento sem ignorar preferencias e aversoes declaradas."",""explicit_preferences"":[""Brasileira"",""Lanches""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 7 km"",""meal_budget"":""ate R$ 32"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil AAF7"",""recent_sequence"":[{""category"":""Brasileira"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Lanches"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Massas"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 6, dia 5""}","{""category"":""Asiatica"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""abaixo de R$ 25"",""product_alias"":""Opcao A"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante A""}","{""category"":""Brasileira"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""abaixo de R$ 25"",""product_alias"":""Opcao B"",""recent_category_occurrences"":1,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-022","22","SHARED_HISTORY","{""behavioral_goal"":""Buscar categorias e restaurantes novos sem violar preferencias explicitas."",""explicit_preferences"":[""Asiatica"",""Mediterranea""],""gastronomic_aversions"":[""Frituras""],""maximum_distance"":""ate 10 km"",""meal_budget"":""ate R$ 60"",""meal_window"":""JANTAR"",""profile_label"":""Perfil 8AE3"",""recent_sequence"":[{""category"":""Asiatica"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Mediterranea"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Asiatica"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 4, dia 1""}","{""category"":""Vegetariana"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante A""}","{""category"":""Mediterranea"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":1,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-023","23","SHARED_HISTORY","{""behavioral_goal"":""Priorizar um produto favorito sem confundir fidelidade ao prato com restaurante."",""explicit_preferences"":[""Saudavel""],""gastronomic_aversions"":[""Frituras""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 50"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil F37A"",""recent_sequence"":[{""category"":""Lanches"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Saudavel"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Mediterranea"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 4, dia 5""}","{""category"":""Doces"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante A""}","{""category"":""Saudavel"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":1,""restaurant_alias"":""Restaurante B""}","","","",""
